Date,Close,Daily Returns
2021-01-02,32127.27,0.09373
2021-01-03,32782.02,0.02038
2021-01-04,31971.91,-0.02471
2021-01-05,33992.43,0.0632
2021-01-06,36824.36,0.08331
2021-01-07,39371.04,0.06916
2021-01-08,40797.61,0.03623
2021-01-09,40254.55,-0.01331
2021-01-10,38356.44,-0.04715
2021-01-11,35566.66,-0.07273
2021-01-12,33922.96,-0.04621
2021-01-13,37316.36,0.10003
2021-01-14,39187.33,0.05014
2021-01-15,36825.37,-0.06027
2021-01-16,36178.14,-0.01758
2021-01-17,35791.28,-0.01069
2021-01-18,36630.08,0.02344
2021-01-19,36069.81,-0.0153
2021-01-20,35547.75,-0.01447
2021-01-21,30825.7,-0.13284
2021-01-22,33005.76,0.07072
2021-01-23,32067.64,-0.02842
2021-01-24,32289.38,0.00691
2021-01-25,32366.39,0.00238
2021-01-26,32569.85,0.00629
2021-01-27,30432.55,-0.06562
2021-01-28,33466.1,0.09968
2021-01-29,34316.39,0.02541
2021-01-30,34269.52,-0.00137
2021-01-31,33114.36,-0.03371
2021-02-01,33537.18,0.01277
2021-02-02,35510.29,0.05883
2021-02-03,37472.09,0.05525
2021-02-04,36926.06,-0.01457
2021-02-05,38144.31,0.03299
2021-02-06,39266.01,0.02941
2021-02-07,38903.44,-0.00923
2021-02-08,46196.46,0.18746
2021-02-09,46481.1,0.00616
2021-02-10,44918.18,-0.03362
2021-02-11,47909.33,0.06659
2021-02-12,47504.85,-0.00844
2021-02-13,47105.52,-0.00841
2021-02-14,48717.29,0.03422
2021-02-15,47945.06,-0.01585
2021-02-16,49199.87,0.02617
2021-02-17,52149.01,0.05994
2021-02-18,51679.8,-0.009
2021-02-19,55888.13,0.08143
2021-02-20,56099.52,0.00378
2021-02-21,57539.94,0.02568
2021-02-22,54207.32,-0.05792
2021-02-23,48824.43,-0.0993
2021-02-24,49705.33,0.01804
2021-02-25,47093.85,-0.05254
2021-02-26,46339.76,-0.01601
2021-02-27,46188.45,-0.00327
2021-02-28,45137.77,-0.02275
2021-03-01,49631.24,0.09955
2021-03-02,48378.99,-0.02523
2021-03-03,50538.24,0.04463
2021-03-04,48561.17,-0.03912
2021-03-05,48927.3,0.00754
2021-03-06,48912.38,-0.0003
2021-03-07,51206.69,0.04691
2021-03-08,52246.52,0.02031
2021-03-09,54824.12,0.04934
2021-03-10,56008.55,0.0216
2021-03-11,57805.12,0.03208
